"","plotFuelModels.description","ros_m_min","intensity_kW_m","fl_m"
"1","201A",60.74,1492.34,2.5
"2","201G",74.07,5032.5,4.9
"3","202A",67.41,1983.76,2.93
"4","202G",92.18,2018.97,3.08
"5","203A",73.2,1792.73,2.81
"6","203G",111.84,4180.49,4.77
"7","204A",12.31,125.53,0.71
"8","204G",17.25,237.8,0.96
"9","205A",23.63,581.44,1.48
"10","205G",82.75,11085.33,7.74
"11","206A",168.32,9334.46,8.39
"12","206G",121.98,6337.74,6.16
"13","207A",70.51,1710.56,2.72
"14","207G",10.85,590.05,1.48
"15","208A",78.16,2354.89,3.27
"16","208G",29.95,524.73,1.42
"17","209A",153.94,8959.64,8
"18","209G",106.97,6426.73,6.03
"19","210A",126.74,3872.09,4.68
"20","210G",42.5,750.42,1.72
"21","211A",39.87,497.26,1.39
"22","211G",34.65,3029.52,3.41
"23","212A",80.2,1437.96,2.52
"24","212G",87.95,6277.29,5.71
"25","213A",160.92,7214.57,7.11
"26","213G",66.82,1555,2.58
"27","214A",105.26,3858.36,4.51
"28","214G",51.76,1433.7,2.41
"29","215A",83.39,3189,3.89
"30","215G",29.61,744.37,1.68
"31","216A",26.01,558.65,1.46
"32","216G",73.6,3333.83,3.91
"33","217A",34.43,448.27,1.32
"34","217G",118.33,4179.34,4.82
"35","218A",16.77,823.2,1.74
"36","218G",119.14,10739.29,8.31
"37","219A",6.81,175.18,0.83
"38","219G",21.35,1308.67,2.19
"39","220A",12.8,201.53,0.89
"40","220G",11.72,161.83,0.8
"41","221A",123.14,4589.31,5.13
"42","221G",74.22,2750.86,3.53
"43","222A",12.68,424.99,1.27
"44","222G",13.52,933.26,1.84
"45","223A",76.87,1863.37,2.88
"46","223G",70.26,10015.93,7.06
"47","224A",127.61,5549.01,5.77
"48","224G",46.38,1938.7,2.79
"49","225A",43.17,2242.47,2.99
"50","225G",77.4,10646.11,7.45
"51","226A",NA,NA,NA
"52","226G",2.9,1.77,0.1
"53","227A",NA,NA,NA
"54","227G",NA,NA,NA
"55","228A",1.78,2.73,0.12
"56","228G",NA,NA,NA
"57","229A",2.15,0.29,0.04
"58","229G",NA,NA,NA
"59","230A",NA,NA,NA
"60","230G",2.02,0.3,0.04
"61","231A",1.79,0.33,0.05
"62","231G",NA,NA,NA
"63","232A",NA,NA,NA
"64","232G",3.43,22.62,0.32
"65","233A",NA,NA,NA
"66","233G",12.48,0.9,0.07
"67","234A",NA,NA,NA
"68","234G",NA,NA,NA
"69","235A",NA,NA,NA
"70","235G",NA,NA,NA
"71","236A",NA,NA,NA
"72","236G",NA,NA,NA
"73","237A",NA,NA,NA
"74","237G",NA,NA,NA
"75","238A",NA,NA,NA
"76","238G",NA,NA,NA
"77","239A",9.81,0.22,0.04
"78","239G",8.02,0.92,0.07
"79","240A",NA,NA,NA
"80","240G",20.72,2.01,0.11
"81","241A",NA,NA,NA
"82","241G",3.39,1.4,0.09
"83","242A",NA,NA,NA
"84","242G",0.68,0.13,0.03
"85","243A",NA,NA,NA
"86","243G",NA,NA,NA
"87","244A",NA,NA,NA
"88","244G",NA,NA,NA
"89","245A",NA,NA,NA
"90","245G",NA,NA,NA
